================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
Bug1481                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug152                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.5
Bug1521                                      15     15      +0        0.1       0.1      +0.0%       0.3      0.2
Bug1533                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1534                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug1535a                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1535b                                      5      5      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1536                                       4      4      +0        0.0       0.0      +0.0%       0.3      0.3
Bug155                                        4      4      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1571                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.3
Bug1595                                       8      8      +0        0.1       0.1      +0.0%       0.4      0.5
Bug1601                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1604                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1605                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug161                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1612                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1614a                                      8      8      +0        0.0       0.0      +0.0%       1.2      1.6
Bug1614d                                      1      1      +0        0.0       0.0      +0.0%       0.4      0.3
Bug1614f                                      2      2      +0        0.0       0.0      +0.0%       0.6      0.7
Bug162                                        1      1      +0        3.4       3.4      +0.0%      11.6     11.0
Bug1622                                       3      3      +0        0.0       0.0      +0.0%       0.4      0.3
Bug1680                                      11     11      +0        3.0       3.0      +0.0%       1.6      1.9
Bug1682                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug171                                        9      9      +0        0.4       0.4      +0.0%       0.6      0.6
Bug1714                                       5      5      +0        0.0       0.0      +0.0%       0.4      0.7
Bug173                                       40     40      +0        1.7       1.7      +0.0%       1.1      1.2
Bug1730b                                      1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug175                                        8      8      +0        0.0       0.0      +0.0%       0.4      0.4
Bug1750                                       5      5      +0        0.0       0.0      +0.0%       0.0      0.0
Bug177                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1799                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Bug184                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug1840                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug184Eta                                     1      1      +0        0.0       0.0      +0.0%       0.5      0.2
Bug185                                        2      2      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1855                                       1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Bug186                                        2      2      +0        0.0       0.0      +0.0%       0.2      0.5
Bug1866                                       2      2      +0        0.1       0.1      +0.0%       0.1      0.1
Bug186b                                      20     20      +0        0.2       0.2      +0.0%       0.8      0.8
Bug187                                        2      2      +0        0.0       0.0      +0.0%       0.4      0.3
Bug190                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.2
Bug1901                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1902                                       5      5      +0        0.2       0.2      +0.0%       0.7      0.7
Bug1903                                       1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Bug1918                                       4      4      +0        0.0       0.0      +0.0%       0.6      0.6
Bug193                                        4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1936                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1940a                                      4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1940b                                      2      2      +0        0.0       0.0      +0.0%       0.2      0.6
Bug1954                                       1      1      +0        0.0       0.0      +0.0%       0.6      0.2
Bug1966a                                      6      6      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1986                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug2031                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2055                                       2      2      +0        0.0       0.0      +0.0%       0.5      0.3
Bug2057                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.3
Bug2058                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2066                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug2069                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.5
Bug2083                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.2
Bug210                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2106                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug210b                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2125b                                      3      3      +0        0.1       0.1      +0.0%       0.4      0.4
